Cooldown Temp (°C),Heater (°C),Battery,Post-Battery
-28.8,301,14.4,13.33
-30.2,299.8,14.39,13.33
-30.2,300,14.39,13.33
-30,299.7,14.39,13.33
-29.8,301.2,14.39,13.33
-29.8,298.6,14.39,13.33
-29.8,283.5,14.39,13.33
-29.8,282.5,14.39,13.33
-29.4,281.5,14.39,13.33
-29.5,280.1,14.41,13.33
-29.6,278.8,14.39,13.33
-29.5,274.5,14.39,13.32
-29.6,273.8,14.39,13.33
-29.7,274,14.39,13.32
-29.6,272.7,14.39,13.32
-29.7,272.9,14.39,13.32
-29.6,273,14.39,13.32
-29.5,274.6,14.39,13.33
-29.4,273.9,14.39,13.32
-29.5,276.2,14.41,13.33
-29.7,275.7,14.39,13.32
-29.6,277.4,14.39,13.33
-29.3,277.1,14.39,13.32
-29.8,277,14.39,13.33
-29.3,275.9,14.39,13.33
-29.5,275.7,14.39,13.33
-29.3,275.7,14.39,13.33
-29.5,275.6,14.39,13.32
-29.4,275.8,14.39,13.33
